station name,station latitude,station longitude,use_count
48 Ave & 30 Pl,40.741283093558884,-73.93725872039794,4223
48 Ave & 5 St,40.74436328706044,-73.95587325096129,9255
49 Ave & 21 St,40.742520000004,-73.94885199999796,7523
5 Ave & 3 St,40.67281549998559,-73.98352354998089,30241
5 Ave & E 103 St,40.792255300026824,-73.95249933003421,40412
5 Ave & E 126 St,40.8069799999954,-73.94174699998831,7549
5 Ave & E 29 St,40.74516770006956,-73.98683077003378,76718
5 Ave & E 63 St,40.7663680000148,-73.97151800000347,41761
5 Ave & E 73 St,40.772828170066,-73.9668527599471,88073
5 Ave & E 78 St,40.77632142184081,-73.96427392959596,68558
5 Ave & E 88 St,40.783069999921324,-73.95939000015115,91014
5 Ave & E 93 St,40.7857850999766,-73.95748100005461,31242
5 St & 51 Ave,40.74237369999987,-73.95659999999056,7228
5 St & 6 Ave,40.67048359999903,-73.98208968001221,13029
5 St & Market St,40.699997484390295,-73.97440128028394,3370
6 Ave & 12 St,40.66631810000098,-73.98546170000765,13435
6 Ave & 9 St,40.66812699998897,-73.98377641003769,22639
6 Ave & Canal St,40.72243796998684,-74.00566442993617,80434
6 Ave & Spring St,40.725255695203444,-74.00412082672119,76331
6 Ave & W 33 St,40.749012709906175,-73.98848394995461,146927
6 St & 7 Ave,40.66866269999026,-73.97988066999638,15029
7 St & 3 Ave,40.67260298150339,-73.98983001708984,12010
7 St & 5 Ave,40.670492199993355,-73.98541674997847,16320
8 Ave & W 31 St,40.75058534712066,-73.9946848154068,155246
8 Ave & W 33 St,40.75155100012765,-73.99393399992023,166839
8 Ave & W 52 St,40.76370739004656,-73.98516150004698,87771
8D Mobile 01,45.50626419100106,-73.56890559196472,156
8D OPS 01,40.66290776831685,-73.99972200393677,6
8D QC Station 01,45.506364054011385,-73.5694634914398,6
9 Ave & W 22 St,40.745497299977565,-74.00197139008498,117624
9 Ave & W 28 St,40.74937024195796,-73.99923384189607,50480
9 Ave & W 45 St,40.760192519986376,-73.99125509990131,113570
9 St & 44 Rd,40.749659999998265,-73.9520999999957,7163
Adam Clayton Powell Blvd & W 115 St,40.80253500000731,-73.95324229999346,10416
Adam Clayton Powell Blvd & W 118 St,40.80437199999723,-73.95147500000711,10761
Adam Clayton Powell Blvd & W 123 St,40.80783160000152,-73.94937299998045,14284
Adam Clayton Powell Blvd & W 126 St,40.809495347783994,-73.94776493310928,11343
Adelphi St & Myrtle Ave,40.693082570019534,-73.97178913000913,36244
Albany Ave & Fulton St,40.68001049999601,-73.93847499999603,4530
Allen St & Hester St,40.716058659945325,-73.99190759005431,86373
Allen St & Rivington St,40.72019576001753,-73.9899782500986,94225
Allen St & Stanton St,40.722054999903456,-73.9891109999358,101978
Amsterdam Ave & W 119 St,40.80862489998482,-73.9596214000214,19107
Amsterdam Ave & W 125 St,40.81335800001009,-73.95646100001531,11992
Amsterdam Ave & W 66 St,40.77466710002764,-73.98470566999818,32524
