station name,station latitude,station longitude,use_count
24 Ave & 26 St,40.774590999995304,-73.91854400000533,8291
24 Ave & 29 St,40.77290000000175,-73.91614200000168,7455
24 St & 41 Ave,40.75270850000405,-73.93974049998627,10435
27 Ave & 4 St,40.774717499998,-73.9337894000029,2339
27 Ave & 9 St,40.773982499997636,-73.9309134000033,4633
27 St & Hunter St,40.748499999991644,-73.94127499999223,9846
28 Ave & 35 St,40.767099999997534,-73.91698580001444,10127
28 Ave & 44 St,40.764089323503086,-73.9106512069702,4604
28 St & 36 Ave,40.75718600000226,-73.93271899999435,8115
28 St & 38 Ave,40.75487599999589,-73.93432600000128,8685
28 St & 40 Ave,40.752575799998056,-73.93642809999375,3814
28 St & 41 Ave,40.75104700001449,-73.93797000001153,17926
3 Ave & 14 St,40.66854550001185,-73.99333264001079,12992
3 Ave & E 100 St,40.78772139999909,-73.94728331000077,7263
3 Ave & E 112 St,40.795508000005114,-73.9416060000018,7505
3 Ave & E 62 St,40.76312584002948,-73.96526894998065,37292
3 Ave & E 71 St,40.768736870017996,-73.96119945000268,18508
3 Ave & E 72 St,40.769942600013366,-73.96060712000826,20815
3 Ave & E 95 St,40.784596798839054,-73.94968539476396,12704
3 Ave & Schermerhorn St,40.686832080010795,-73.97967720001716,19875
3 St & 3 Ave,40.67507050000129,-73.98775225998656,28517
3 St & 7 Ave,40.67038370002167,-73.97839676001976,26634
3 St & Hoyt St,40.67772869998961,-73.9936412300142,12615
3 St & Prospect Park West,40.668132000000604,-73.97363831004417,29586
30 Ave & 21 St,40.77037429999651,-73.92860779999114,4919
31 Ave & 14 St,40.76819999999672,-73.9322662000071,6654
31 Ave & 30 St,40.76469999999973,-73.92403120000337,10932
31 Ave & 34 St,40.76315399999688,-73.92082700001959,14937
31 Ave & Crescent St,40.765834600008546,-73.92654739998939,11225
31 Ave & Steinway St,40.76129389728886,-73.916916847229,10749
31 St & 23 Ave,40.774787800013975,-73.91255509997997,25589
31 St & 35 Ave,40.75820464697379,-73.92832159996033,10451
31 St & Astoria Blvd,40.76991759998294,-73.91840570000824,19103
31 St & Broadway,40.761583999990165,-73.92592100001568,22354
31 St & Hoyt Ave N,40.77115280000625,-73.91700739998916,11592
31 St & Newtown Ave,40.76754877999703,-73.92093345522879,240
31 St & Northern Blvd,40.7518695142137,-73.93349289894103,6604
31 St & Thomson Ave,40.744697379997135,-73.93540374999843,8277
32 St & 30 Ave,40.766425527040795,-73.92062902450563,16225
34 Ave & 13 St,40.76387530000283,-73.93648480000371,3160
34 Ave & 21 St,40.76281379999514,-73.93428619998984,6960
34 Ave & 38 St,40.75691300001164,-73.92163100000444,19638
34 St & 35 Ave,40.75693319999852,-73.92622310001127,10989
35 Ave & 10 St,40.76315481910557,-73.93985509872438,5042
35 Ave & 37 St,40.7557326999966,-73.92366109998655,12117
35 St & 34 Ave,40.758058300004,-73.92427509999841,7175
35 St & Broadway,40.76033899998918,-73.92224270000528,10457
36 Ave & 10 St,40.76143760000704,-73.94112650001124,7910
37 Ave & 35 St,40.75311059999642,-73.9279917000066,7239
37 St & 24 Ave,40.77014770000057,-73.9120938000125,7068
39 St & 2 Ave - Citi Bike HQ at Industry City,40.655399774484835,-74.0106278657913,6303
4 Ave & 2 St,40.674613422480476,-73.98501142859459,12641
4 Ave & 9 St,40.67051349999439,-73.98876584998058,19862
40 Ave & 9 St,40.7574199999981,-73.94513300000098,3012
40 Ave & Crescent St,40.753599202005695,-73.9379560947418,151
43 St & Broadway,40.75772839999991,-73.91663680000948,11147
44 Dr & 21 St,40.74800000001329,-73.9460926999753,18726
44 Dr & Jackson Ave,40.74718234000284,-73.94326349999761,27500
45 Rd & 11 St,40.74708585999909,-73.94977234001155,21216
46 Ave & 5 St,40.747310000005754,-73.9545100000285,31329
47 Ave & 31 St,40.74299999999848,-73.93560999999453,7805
47 Ave & Skillman Ave,40.74375240997845,-73.94176483154297,442
48 Ave & 30 Pl,40.74128309355885,-73.93725872039794,4241
48 Ave & 5 St,40.7443632870604,-73.95587325096129,9343
49 Ave & 21 St,40.74252000000404,-73.94885199999786,7536
5 Ave & 3 St,40.67281549998719,-73.98352354998083,30904
5 Ave & E 103 St,40.79225530002715,-73.95249933003426,40603
5 Ave & E 126 St,40.8069799999954,-73.94174699998831,7552
5 Ave & E 29 St,40.74516770006955,-73.98683077003378,76716
5 Ave & E 63 St,40.76636800001486,-73.9715180000036,41804
5 Ave & E 73 St,40.77282817006612,-73.96685275994707,88416
5 Ave & E 78 St,40.77632142184079,-73.96427392959596,67872
5 Ave & E 88 St,40.783069999921096,-73.95939000015315,91648
5 Ave & E 93 St,40.78578509997655,-73.95748100005473,31314
5 St & 51 Ave,40.74237369999995,-73.95659999999074,7259
5 St & 6 Ave,40.67048359999903,-73.98208968001153,12687
5 St & Market St,40.69999748439046,-73.97440128028394,3594
6 Ave & 12 St,40.6663181000033,-73.98546170000756,12773
6 Ave & 9 St,40.668126999989106,-73.98377641003609,22151
6 Ave & Canal St,40.72243796997884,-74.00566442991418,86604
